Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)
2017 191  7590   4208830.092   2334850.575   4171267.395      7.476   2.282   0.155   2.437
2017 191  7620   4208830.092   2334850.575   4171267.395      7.709   2.282   0.155   2.437
2017 191  7650   4208830.092   2334850.575   4171267.395      7.436   2.282   0.154   2.437
2017 191  7680   4208830.091   2334850.574   4171267.394      7.440   2.282   0.154   2.437
2017 191  7710   4208830.091   2334850.575   4171267.394      7.511   2.282   0.154   2.436
2017 191  7740   4208830.091   2334850.575   4171267.394      7.381   2.282   0.154   2.436
2017 191  7770   4208830.091   2334850.575   4171267.394      7.140   2.282   0.153   2.436
2017 191  7800   4208830.091   2334850.576   4171267.394      6.964   2.282   0.153   2.436
2017 191  7830   4208830.091   2334850.577   4171267.394      6.935   2.282   0.153   2.435
2017 191  7860   4208830.091   2334850.578   4171267.394      7.116   2.282   0.153   2.435
2017 191  7890   4208830.091   2334850.578   4171267.394      7.595   2.282   0.152   2.435
2017 191  7920   4208830.092   2334850.578   4171267.394      7.806   2.282   0.152   2.434
2017 191  7950   4208830.092   2334850.578   4171267.394      8.006   2.282   0.152   2.434
2017 191  7980   4208830.092   2334850.578   4171267.394      7.369   2.282   0.151   2.434
2017 191  8010   4208830.091   2334850.578   4171267.394      7.278   2.282   0.151   2.434
2017 191  8040   4208830.091   2334850.578   4171267.394      7.284   2.282   0.151   2.433
2017 191  8070   4208830.091   2334850.578   4171267.394      7.226   2.282   0.151   2.433
2017 191  8100   4208830.091   2334850.578   4171267.394      7.899   2.282   0.150   2.433
2017 191  8130   4208830.091   2334850.579   4171267.394      7.466   2.282   0.150   2.432
2017 191  8160   4208830.091   2334850.578   4171267.394      7.373   2.282   0.150   2.432
2017 191  8190   4208830.091   2334850.579   4171267.394      7.522   2.282   0.149   2.432
2017 191  8220   4208830.091   2334850.578   4171267.394      7.056   2.282   0.149   2.431
2017 191  8250   4208830.090   2334850.578   4171267.394      7.121   2.282   0.149   2.431
2017 191  8280   4208830.090   2334850.578   4171267.394      7.174   2.282   0.148   2.431
2017 191  8310   4208830.090   2334850.579   4171267.394      7.145   2.282   0.148   2.430
2017 191  8340   4208830.090   2334850.579   4171267.394      7.533   2.282   0.148   2.430
2017 191  8370   4208830.090   2334850.579   4171267.394      7.332   2.282   0.147   2.430
2017 191  8400   4208830.090   2334850.580   4171267.394      7.495   2.282   0.147   2.429
2017 191  8430   4208830.090   2334850.581   4171267.394      7.406   2.282   0.147   2.429
2017 191  8460   4208830.090   2334850.581   4171267.394      7.738   2.282   0.146   2.429
2017 191  8490   4208830.090   2334850.581   4171267.394      8.153   2.282   0.146   2.428
2017 191  8520   4208830.090   2334850.580   4171267.394      7.841   2.282   0.146   2.428
2017 191  8550   4208830.090   2334850.579   4171267.393      7.724   2.282   0.146   2.428
2017 191  8580   4208830.090   2334850.578   4171267.393      7.847   2.282   0.145   2.428
2017 191  8610   4208830.090   2334850.578   4171267.393      7.579   2.282   0.145   2.428
2017 191  8640   4208830.090   2334850.577   4171267.393      7.249   2.282   0.145   2.427
2017 191  8670   4208830.090   2334850.577   4171267.393      7.174   2.282   0.145   2.427
2017 191  8700   4208830.090   2334850.577   4171267.393      7.035   2.282   0.144   2.427
2017 191  8730   4208830.090   2334850.577   4171267.393      7.183   2.282   0.144   2.426
2017 191  8760   4208830.090   2334850.576   4171267.392      7.168   2.282   0.144   2.426
2017 191  8790   4208830.089   2334850.576   4171267.392      6.945   2.282   0.143   2.426
2017 191  8820   4208830.090   2334850.576   4171267.392      7.222   2.282   0.143   2.425
2017 191  8850   4208830.090   2334850.576   4171267.392      6.799   2.282   0.143   2.425
2017 191  8880   4208830.090   2334850.575   4171267.392      7.032   2.282   0.143   2.425
2017 191  8910   4208830.090   2334850.575   4171267.392      7.142   2.282   0.142   2.425
2017 191  8940   4208830.090   2334850.576   4171267.392      7.621   2.282   0.142   2.425
2017 191  8970   4208830.090   2334850.576   4171267.392      7.762   2.282   0.142   2.424
2017 191  9000   4208830.090   2334850.576   4171267.392      7.822   2.282   0.141   2.424
2017 191  9030   4208830.090   2334850.576   4171267.392      7.916   2.282   0.141   2.424
2017 191  9060   4208830.090   2334850.576   4171267.392      7.535   2.282   0.141   2.424
2017 191  9090   4208830.090   2334850.576   4171267.392      7.286   2.282   0.141   2.423
2017 191  9120   4208830.090   2334850.576   4171267.391      6.783   2.282   0.141   2.423
2017 191  9150   4208830.090   2334850.576   4171267.391      8.675   2.282   0.141   2.423
